ID	author	Name	significant	significant direction	direction description	Delete	Country.of.Expirement	Size..n.	Industry.of.Participant	Gender	Nature.Type	Real.Exposure.Type	Exposure.Time..Mins.	Before_COVID	During_COVID	After_COVID	Field	Lab	Survey	Interviews	Stimuli_Visual	Stimuli_Auditory	Stimuli_Tactile	Stimuli_Olfactory	Stimuli_Thermal	Subjective	Objective	Row_ID	dep_var_1	dep_var_2	dep_var_3	dep_var_4	dep_var_5	dep_var_6	dep_var_7	dep_var_8	dep_var_9	assmnt_1	assmnt_2	assmnt_3	assmnt_4	assmnt_5	assmnt_6	assmnt_7	assmnt_8	assmnt_9	phys_assmnt_1	phys_assmnt_2	phys_assmnt_3	phys_assmnt_4	phys_assmnt_5	phys_assmnt_6	phys_assmnt_7	phys_assmnt_8	phys_assmnt_9	Column1	Column2	Column3	Column4	Column5
97	Wang et al. (2024)	"Gardening and subjective cognitive decline: a cross-sectional study and mediation analyses of 136,748 adults aged 45+ years"				NA	United States	136748	NA	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	47	Subjective Cognitive Decline (SCD)	Functional Limitations Related to SCD	NA	NA	NA	NA	NA	NA	NA	Behavioral Risk Factor Surveillance System Questionnaire	Behavioral Risk Factor Surveillance System Questionnaire	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
98	Ward Thompson et al. (2016)	Mitigating Stress and Supporting Health in Deprived Urban Communities: The Importance of Green Space and the Social Environment				NA	"United Kingdom, Scotland"	406	NA	Mixed	NA	Indirect	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	1	118	Stress	Mental Wellbeing	NA	NA	NA	NA	NA	NA	NA	Perceived Stress Scale (PSS)	Shorter Warwick-Edinburgh Mental Wellbeing Scale (SWEMWBS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
99	Weng et al. (2024)	Empirical Study on the Impact of Different Types of Forest Environments in Wuyishan National Park on Public Physiological and Psychological Health	yes	positive	Improvement in autonomic nervous system function	NA	China	41	NA	Mixed	Real	Direct	15	0	0	1	1	1	0	0	1	0	0	0	0	1	1	39	Heart Rate Variability (HRV)	Skin Conductance Level (SCL)	Facial Muscle Activity	Mood States	NA	NA	NA	NA	NA	NA	NA	NA	Profile of Mood States (POMS)	NA	NA	NA	NA	NA	Photoplethysmography (PPG)	Electrodermal Activity (EDA)	Surface Electromyography (sEMG)	NA	NA	NA	NA	NA	NA					
100	Weng et al. (2024)	Quantitative Analysis of Physiological and Psychological Impacts of Visual and Auditory Elements in Wuyishan National Park Using Eye-Tracking	yes	positive		NA	China	41	NA	Mixed	Real	Direct	15	0	0	1	1	0	0	0	1	1	0	0	0	1	1	90	Mood States	Positive and Negative Affect	NA	NA	NA	NA	NA	NA	NA	Profile of Mood States (POMS)	Positive and Negative Affect Schedule (PANAS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
101	Werder et al. (2024)	"Residential air pollution, greenspace, and adverse mental health outcomes in the U.S. Gulf Long-term Follow-up Study"				NA	United States	9015	NA	Mostly Male (75%+)	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	92	Depression	Anxiety	NA	NA	NA	NA	NA	NA	NA	Patient Health Questionnaire-9 (PHQ-9)	Generalized Anxiety Disorder-7 (GAD-7)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
102	Wood et al. (2016)	A case-control study of the health and well-being benefits of allotment gardening	yes	positive	increase	NA	United Kingdom	269	NA	Mixed	Real	Direct	156	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	Self-esteem	Mood	General Health	NA	NA	NA	NA	NA	NA	Rosenberg Self-Esteem Scale	Profile of Mood States (POMS)	General Health Questionnaire (GHQ-12)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
103	Wu et al. (2021)	"Perceived influence of street-level visible greenness exposure in the work and residential environment on life satisfaction: Evidence from Beijing, China"				NA	China	4619	Mixed	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
104	Wu et al. (2022)	"Urban greenness, mixed land-use, and life satisfaction: Evidence from residential locations and workplace settings in Beijing"				NA	China	3495	Mixed	Mixed	Real	NA	0	1	0	0	0	0	1	1	NA	NA	NA	NA	NA	1	1	112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
105	Xie et al. (2024)	A study on the influencing factors of mental health of Chinese garden workers: a cross-sectional study	yes	negative	increased	NA	China	3349	Horticulture	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	4	Anxiety	Depression	Stress	Job Satisfaction	NA	NA	NA	NA	NA	Depression Anxiety Stress Scale (DASS-21)	Depression Anxiety Stress Scale (DASS-21)	Depression Anxiety Stress Scale (DASS-21)	Job Satisfaction Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
106	Xu and Zhang (2024)	Effects of residential indoor environments on occupant satisfaction and performance				NA	China	528	Mixed	Mixed	NA	NA	0	0	0	1	0	0	1	0	NA	NA	NA	NA	NA	1	0	37	Residential Satisfaction	Occupant Performance	Indoor Environment Quality	Indoor Greenery	NA	NA	NA	NA	NA	Residential Satisfaction Scale (7-point Likert Scale)	Occupant Performance Scale (7-point Likert Scale)	Indoor Environment Quality Scale (7-point Likert Scale)	"Indoor Greenery Scale (number, type, and color of plants)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
107	Xu et al. (2024)	Restorative Effects of Pocket Parks on Mental Fatigue among Young Adults: A Comparative Experimental Study of Three Park Types	yes	negative		NA	China	80	NA	Mixed	Real	Direct	15	0	0	1	1	0	0	0	1	1	0	0	0	1	1	93	Mental Fatigue	Restorativeness	NA	NA	NA	NA	NA	NA	NA	Chalder Fatigue Scale (FS-14)	Perceived Restorativeness Scale (PRS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
108	Xue et al. (2016)	Human Factors in Green Office Building Design: The Impact of Workplace Green Features on Health Perceptions in High-Rise High-Density Asian Cities				NA	"Hong Kong, Singapore"	413	"Commercial, Institutional"	Mixed		NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	59	Health Perception	Sensorial Assumption	NA	NA	NA	NA	NA	NA	NA	Self-reported questionnaire (12-item health perception scale)	"Subscales for thermal comfort, visual, auditory, and tactile perception"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
109	Yang et al. (2023)	Moderation effect of visible urban greenery on the association between neighbourhood deprivation and subjective well-being: Evidence from Hong Kong				NA	Hong Kong	1752	NA	Mixed	NA	NA	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	76	Subjective Well-being	NA	NA	NA	NA	NA	NA	NA	NA	Satisfaction with Life Scale (SWLS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
110	Yildirim et al. (2024)	Multisensory nature exposure in the workplace: Exploring the restorative benefits of smell experiences	yes	positive		NA	Australia	32	Academia	Mixed	Artificial/Virtual	Indirect	9	0	0	1	0	1	0	0	1	1	0	1	0	1	1	78	Working Memory	Inhibition	Mood	Physiological Stress Response	NA	NA	NA	NA	NA	Backward Digit Span Test	Stroop Test	Semantic Differential Mood Scale	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Heart Rate, Skin Conductance Level (SCL)"	NA	NA	NA	NA	NA					
111	Yin et al. (2022)	Stress recovery from virtual exposure to a brown (desert) environment versus a green environment	yes	negative	"Decreased salivary cortisol in both desert and green conditions, with stronger recovery in the desert condition compared to office control"	NA	United States	95	Academia	Male	Artificial/Virtual	NA	10	1	0	0	0	1	0	0	1	0	0	0	0	1	1	100	Salivary Cortisol	Mean Arterial Pressure (MAP)	Pulse	Interleukin-6 (IL-6)	Interleukin-10 (IL-10)	NA	NA	NA	NA	"Enzyme Immunoassay (Salimetrics, State College, PA)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	EDAN M3a NS Vital Signs Monitor NIBP & SPO2	EDAN M3a NS Vital Signs Monitor NIBP & SPO2	Milliplex Human High-Sensitivity T-Cell premixed kit	Milliplex Human High-Sensitivity T-Cell premixed kit	NA	NA	NA	NA					
112	Yin et al. (2023)	Effects of blue space exposure in urban and natural environments on psychological and physiological responses: A within-subject experiment				NA	Taiwan	20	Mixed	Mixed	Real	Direct	30	1	0	0	1	0	0	0	1	0	0	0	0	1	1	35	Mood States	Restorative Components	Heart Rate	Heart Rate Variability (HRV)	Mean Arterial Pressure (MAP)	NA	NA	NA	NA	Profile of Mood States (POMS)	Restorative Components Scale (RCS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	Heart Rate Measurement (QHRV)	Heart Rate Variability Measurement (QHRV)	Blood Pressure Measurement	NA	NA	NA	NA					
113	Zhang et al. (2022)	Perception of pleasure in the urban running environment with street view images and running routes				NA	China	446	NA	Mixed	NA	NA	0	NA	NA	NA	0	0	1	0	NA	NA	NA	NA	NA	1	0	124	Visual Element Proportion	NA	NA	NA	NA	NA	NA	NA	NA	Semantic Segmentation Analysis of Street Images	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
114	Zhang et al. (2023)	Home Greenery: Alleviating Anxiety during Lockdowns with Varied Landscape Preferences				NA	China	1287	NA	Mixed	NA	NA	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	1	0	54	Anxiety	Green Exposure	NA	NA	NA	NA	NA	NA	NA	Generalized Anxiety Disorder 7-item (GAD-7) Scale	Self-reported survey of houseplants and green views through windows	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
115	Zhang et al. (2023)	"Is indoor and outdoor greenery associated with fewer depressive symptoms during COVID-19 lockdowns? A mechanistic study in Shanghai, China"				NA	China	386	Mixed	Mixed	NA	NA	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	64	Depressive Symptoms	Fear of COVID-19	Loneliness	Perceived Restorativeness	Greenery Exposure (Indoor)	Greenery Exposure (Outdoor)	NA	NA	NA	Patient Health Questionnaire-9 (PHQ-9)	Fear of COVID-19 Scale (FCV-19s)	UCLA 3-Item Loneliness Scale	Perceived Restorativeness Scale (PRS)	Semantic image segmentation for green views	Normalized Difference Vegetation Index (NDVI)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
116	Zhang et al. (2023)	The restorative effects of short-term exposure to nature in immersive virtual environments (IVEs) as evidenced by participants' brain activities	yes	positive	"Improved Stroop task performance, indicating better attentional control"	NA	China	51	NA	Mixed	Both	Indirect	4.5	0	1	1	0	1	0	0	1	0	0	0	0	1	1	111	Cognitive Performance	Perceived Stress	Neural Activity	Neural Efficiency	NA	NA	NA	NA	NA	Stroop Task	Perceived Stress Scale (PSS-14)	NA	Neural Efficiency Index	NA	NA	NA	NA	NA	NA	NA	Electroencephalogram (EEG)	NA	NA	NA	NA	NA	NA					
117	Zhang et al. (2024)	Beyond just green: Explaining and predicting restorative potential of urban landscapes using panorama-based metrics	yes	positive	improvement	NA	Singapore	1500	Mixed	Mixed	Artificial/Virtual	Indirect	0	0	1	0	0	0	1	0	NA	NA	NA	NA	NA	0	1	14	Restorative Potential (RP)	NA	NA	NA	NA	NA	NA	NA	NA	Perceived Restorativeness Scale (PRS-11)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
118	Zijlema et al. (2017)	The relationship between natural outdoor environments and cognitive functioning and its mediators				NA	"Spain, Netherlands, United Kingdom"	1628	NA	Mixed	Real	Both	0	1	0	0	0	0	1	0	NA	NA	NA	NA	NA	1	1	110	NA	Cognitive Function	Mental Health	NA	NA	NA	NA	NA	NA	NA	Color Trails Test (CTT)	SF-36 Mental Health Subscale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
